Date and Time,Wind Speed,Wind Direction,Barometric Pressure,Ambient Humidity,Ambient Temperature,Solar Radiation,Rainfall,PM10 Concentration,PM25 Concentration,NO,NO2,NOX,SO2,CO,O3,PM10 AQI,PM25 AQI,NO2 Index,SO2 Index,CO Index,O3 Index,AQI Index
26/12/2024 13:00,1.6,142.8,1019.7,59.3,33.2,607.6,0,24,8.1,0,4.6,4.6,,0,0,22,34,4,,0,0,34
26/12/2024 12:00,2,97,1020.6,58.4,33,509.6,0,26.1,7.6,0.3,4.2,4.5,,0,0,24,31,4,,0,0,31
26/12/2024 11:00,1.7,107.1,1021,60.9,32.4,694.5,0,23.7,8.1,0.4,4,4.4,,0,0,22,33,4,,0,0,33
26/12/2024 10:00,1.4,147.1,1021.4,65.8,30.8,369.4,0,24.8,8.3,1,4.5,5.5,,0,0,23,34,4,,0,0,34
26/12/2024 09:00,1.5,139.7,1021.6,69.2,29.8,282,0,31.8,10.4,2.5,4.8,7.4,,0,0,29,42,4,,0,0,42
26/12/2024 08:00,1.5,122.6,1021.1,71.3,28.5,112.5,0,38.8,13.3,4.3,5.1,9.4,,0,0,36,52,5,,0,0,52
26/12/2024 07:00,0.9,115.1,1020.2,74.3,27.5,53.7,0,30.7,12.3,5.8,4.7,10.5,,0,0,28,48,4,,0,0,48
26/12/2024 06:00,1,135.2,1019.7,74.2,27.3,12.9,0,19.3,9.3,5.1,4.9,10,,0,0,18,38,5,,0,0,38
26/12/2024 05:00,1.2,129.9,1019.3,72.8,27.8,12.1,0,13.3,4.8,4.1,4,8.1,,0,0,12,20,4,,0,0,20
26/12/2024 04:00,1,143.3,1018.7,72.5,28.1,12.1,0,9.7,3.1,3.9,3.4,7.3,,0,0,9,12,3,,0,0,12
26/12/2024 03:00,0.9,148.2,1018.6,74.2,27.8,12.1,0,10,2.9,4.3,3.3,7.6,,0,0,9,12,3,,0,0,12
26/12/2024 02:00,1.4,133.3,1019.2,73.9,27.9,12.1,0,7.8,2.2,3.5,3.3,6.7,,0,0,7,9,3,,0,0,9
26/12/2024 01:00,1.3,149.8,1019.8,73.5,28,12.1,0,8.5,2.3,3.8,3.5,7.3,,0,0,8,9,3,,0,0,9
26/12/2024 00:00,1.3,154.4,1020.4,75.7,28.2,12.1,0,10.8,3.3,4.3,3,7.3,,0,0,10,14,3,,0,0,14
25/12/2024 23:00,1.3,149.8,1020.6,75.3,28.8,12.1,0,16.3,7,4.3,3.1,7.5,,0,0,15,29,3,,0,0,29
25/12/2024 22:00,1.1,131.5,1020.7,80.8,28.3,12.1,0,24.7,11.6,6.2,2.8,9.1,,0,0,23,45,3,,0,0,45
25/12/2024 21:00,0.7,150.8,1020.7,82.7,28.2,12.1,0,36.5,20.4,6.8,3.6,10.4,,0,0,34,69,3,,0,0,69
25/12/2024 20:00,0.8,171.6,1019.9,79.7,28.9,12.1,0,63,38.1,6.7,7.2,13.8,,0,0,54,108,7,,0,0,108
25/12/2024 19:00,0.9,219.4,1019.2,78.8,29.3,12.1,0,51.5,28.7,4.9,7.7,12.5,,0,0,46,87,7,,0,0,87
25/12/2024 18:00,1.3,246.6,1018.5,78.1,29.4,21.5,0,31.4,12.4,3.4,7.4,10.7,,0,0,29,49,7,,0,0,49
25/12/2024 17:00,0.8,224,1017.7,76,29.8,85.8,0,35,15.7,2.5,7.6,10,,0,0,32,58,7,,0,0,58
25/12/2024 16:00,1.6,210.7,1017.1,75.5,29.3,175.3,0.8,30.1,10.7,1,5.5,6.6,,0,0,28,44,5,,0,0,44
25/12/2024 15:00,3,299.2,1017.3,72.2,31.3,174.2,0,26.4,9,0.3,4.9,5.2,,0,0,24,37,5,,0,0,37
